SampleID,SampleType,Study,A.clavatus,A.fumigatus,A.glaucus,A.heteromorphus,A.mulundensis,A.niger,A.novofumigatus,A.steynii,A.nidulans,A.terreus,A.pseudoglaucus,A.aculeatinus,A.awamori,A.welwitschiae,Aureobasidium.pullulans,Cercospora.beticola,Zasmidium.cellare,Acidomyces.richmondensis,Coniosporium.apollinis,Dothidotthia.symphoricarpi,Parastagonospora.nodorum,Pyrenophora.teres,Pyrenophora.tritici.repentis,Exophiala.xenobiotica,Penicillium.arizonense,Penicillium.digitatum,Byssochlamys.spectabilis,Talaromyces.pinophilus,Hyaloscypha.bicolor,Botrytis.cinerea,Candida.parapsilosis,Clavispora.lusitaniae,Kluyveromyces.marxianus,Trichoderma.asperellum,Trichoderma.atroviride,Phaeoacremonium.minimum,Taphrina.deformans,Agaricus.bisporus,Hebeloma.cylindrosporum,Tricholomella.constricta,Armillaria.ostoyae,Pleurotus.ostreatus,Schizophyllum.commune,Paxillus.involutus,Serpula.lacrymans,Gloeophyllum.trabeum,Neolentinus.lepideus,Postia.placenta,Grifola.frondosa,Phlebia.radiata,Fibroporia.radiculosa,Polyporus.grammocephalus,Trametes.hirsuta,Trametes.versicolor,Heterobasidion.irregulare,Stereum.hirsutum,Tilletiopsis.washingtonensis,Acaromyces.ingoldii,Pseudomicrostroma.glucosiphilum,Malassezia.globosa,Malassezia.restricta,Malassezia.sympodialis,Puccinia.triticina,Wallemia.mellicola,Rhizophagus.irregularis,Aureobasidium.namibiae,Candida.dubliniensis,Candida.orthopsilosis,Millerozyma.farinosa,Spathaspora.passalidarum,Cyberlindnera.jadinii,Dichomitus.squalens,Meira.miltonrushii,Coprinopsis.cinerea,Ganoderma.boninense,Kockovaella.imperatae,Lasiodiplodia.theobromae,Wolfiporia.cocos,Corynespora.cassiicola,Bipolaris.maydis,Bipolaris.oryzae,Bipolaris.sorokiniana,Penicillium.oxalicum,Pestalotiopsis.fici,Trichosporon.asahii,Pseudozyma.hubeiensis
HMSP1637,Surfaces,Singapore,0.5847953,1.1695906,2.1929825,0.7309942,0,9.4054581,0,1.4132554,0.6335283,0,0.2923977,0.3898635,5.7992203,5.214425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3411306,0,0,0,0,0,0,0,0,0,0,0,1.4132554,0,0,0,0,0.877193,0.9746589,0,0,0,0,1.0233918,0,0,0,1.2670565,0.877193,10.6237817,15.545809,2.0955166,0,0,0,0,0,0.2923977,0,0,0,2.7290448,0,0.5360624,0.82846,0,3.8986355,1.0721248,8.4307992,3.0214425,2.6315789,3.3625731,1.754386,7.5536062,0.7309942,0.2923977
HMSP1640,Indoor air,Singapore,0,0.2315198,0.2480569,0,0,0,0,1.4883413,0.2976683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2811311,0,0,0,0.1488341,0,0,1.2072102,0,0,0,0,4.0846701,0,1.9513809,0,0,3.7043162,5.6226228,0,0,0,0,4.7626922,0,0,0,0,0,6.2344964,13.659666,1.0087647,0,0.7441707,0,0,0,0,0,0,0,45.5432446,0,2.9766827,5.5564743,0.2480569,0,0,0,0,0,0,0,0,0,0
HMSP1641,Outdoor air,Singapore,0,0.5708073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.359065,0,0,0,0,3.1258494,0,1.9842348,0,0,3.2617559,4.9198152,0,0,0,0,4.4577331,0,0,0,0,0,3.5879315,8.1272085,0,0,0.8698016,0,0,0,0.0815439,0,0,0,47.2682794,0,7.447676,7.9369394,0,1.4406089,3.5607502,0,0,0,0,0,0,0,0
HMSP1642,Surfaces,Singapore,0.4329004,0.7326007,1.3653014,0.6993007,0,3.2301032,0,1.0989011,0.3996004,0,0.2997003,2.2977023,1.1988012,0.6327006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999001,0,0,0,0,0,0,0,0,0,0,0,3.6963037,0,0,0,0,2.0979021,2.6307026,0,0,0,0,1.964702,0,0,0,0.4329004,0.6327006,11.7216117,24.4422244,1.3320013,0,0,0,0,0,0.4995005,0,0,0,12.2211122,0,1.8981019,2.9304029,0,1.6983017,3.3633034,5.2614053,1.5318015,0.7659008,1.2987013,1.2321012,3.4299034,1.3653014,0.1665002
HMSP1645,Indoor air,Singapore,0,0.7905138,1.1857708,0,0,0,0,4.6442688,0.5434783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1482213,0,0,0,0.7411067,0,0,0.7411067,0,0,0,0,0.7411067,0,0.7905138,0,0,1.5316206,1.7786561,0,0,0,0,2.6679842,0,0,0,0,0,11.8083004,22.1343874,1.3833992,0,0.4940711,0,0,0,0,0,0,0,37.5,0,3.8537549,6.0770751,0.444664,0,0,0,0,0,0,0,0,0,0
HMSP1646,Outdoor air,Singapore,0,0.1426534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2377556,0,0,0,0,0.4755112,0,0.4279601,0,0,0.6181645,0.808369,0,0,0,0,1.2838802,0,0,0,0,0,3.9467427,18.8302425,0,0,0.4755112,0,0,0,0,0,0,0,12.6485972,0,4.3747028,4.041845,0,51.3076557,0.3804089,0,0,0,0,0,0,0,0
HMSP1647,Surfaces,Singapore,7.7922078,7.9693034,0.3541913,1.3282172,0,12.042503,0,1.2101535,1.8595041,0,0.1475797,3.3353011,2.3317591,2.2727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0295159,0,0,0,0,0,0,0,0,0,0,0,0.0295159,0,0,0,0,0.1180638,0.1475797,0,0,0,0,0.2656434,0,0,0,0.2066116,0.3246753,0.8854782,6.9952774,0.5312869,0,0,0,0,0,0.0590319,0,0,0,0.5903188,0,0.6198347,0.3837072,0,0.472255,0.1475797,2.3612751,13.2231405,10.3305785,10.7733176,3.9256198,6.3459268,0.3246753,0.2656434
HMSP1655,Indoor air,Singapore,0,0.7197585,1.1144648,0,0,0,0,1.8806594,0.9751567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7596935,0,0,0,0.0696541,0,0,1.369863,0,0,0,0,1.8342234,0,1.6252612,0,0,3.2969584,3.9006269,0,0,0,0,2.1360576,0,0,0,0,0,15.8114697,35.152078,5.7348502,0,1.5788252,0,0,0,0,0,0,0,14.2326445,0,0.8590666,2.0896215,0.8590666,0,0,0,0,0,0,0,0,0,0
HMSP1656,Outdoor air,Singapore,0,3.9040452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0696143,0,0,0,0,4.3273754,0,2.7751646,0,0,8.3254939,9.7836312,0,0,0,0,4.233302,0,0,0,0,0,1.2229539,1.7403575,0,0,0.7996237,0,0,0,0.0470367,0,0,0,36.2652869,0,3.3866416,10.4891816,0,1.2699906,9.360301,0,0,0,0,0,0,0,0
HMSP1657,Surfaces,Singapore,3.2967033,1.6483516,1.0989011,6.5934066,0,0.9157509,0,9.1575092,3.8461538,0,0,0.5494505,0.1831502,0.3663004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0989011,0,0,0,0,0.9157509,0.7326007,0,0,0,0,0.1831502,0,0,0,0,0.5494505,8.0586081,15.018315,3.1135531,0,0,0,0,0,0.3663004,0,0,0,1.8315018,0,0.1831502,0.3663004,0,10.4395604,0.5494505,13.003663,3.2967033,2.014652,1.4652015,2.7472527,5.8608059,0.3663004,0.1831502
